Predicted_Emotion,Timestamp
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
surprise,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
fear,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
anger,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
sadness,2026-07-03 09:11:08.176449
joy,2026-07-03 09:11:08.176449
love,2026-07-03 09:11:08.176449
